angle	SFsq	LP	TF	A	P	Pstar	S
1.376	152.98141279026032	13868.367249785688	0.9997134578012308	1.0	2120994.486345493	-4.4519304547902444E-4	1.0
1.391	152.95051750538926	13570.827818258613	0.9997071776917997	1.0	2075057.336722492	-4.451291343771681E-4	1.0
1.406	152.919303826145	13282.760451983386	0.9997008295465449	1.0	2030582.8090294343	-4.450645031443182E-4	1.0
1.421	152.88777227520296	13003.767323002088	0.999694413367198	1.0	1987509.4752139668	-4.4499915090461705E-4	1.0
1.436	152.85592338013325	12733.471272177574	0.999687929155509	1.0	1945779.0986614889	-4.4493307677303476E-4	1.0
1.45	152.8259118994462	12488.725772851669	0.9996818158458687	1.0	1907993.6181337368	-4.4487075548796135E-4	1.0
1.465	152.7934509864481	12234.245688692332	0.9996752001100172	1.0	1868705.466458384	-4.4480328315512507E-4	1.0
1.48	152.76067430489113	11987.463897132602	0.9996685163470647	1.0	1830606.0509343871	-4.4473508628147586E-4	1.0
1.495	152.72758240138512	11748.072991865185	0.9996617645588343	1.0	1793647.9053634969	-4.4466616394597683E-4	1.0
1.51	152.694175827326	11515.780758884624	0.9996549447471678	1.0	1757785.9093649571	-4.4459651521845455E-4	1.0
1.524	152.6627129459963	11305.133886079659	0.9996485182189975	1.0	1725265.7965584425	-4.4453085354391524E-4	1.0
1.539	152.6286995900678	11085.789605801523	0.9996415669006457	1.0	1691403.1791990655	-4.4445979778698965E-4	1.0
1.554	152.59437320840536	10872.766289450314	0.999634547564367	1.0	1658516.626454507	-4.4438801285689484E-4	1.0
1.569	152.55973437100678	10665.82337676872	0.9996274602120759	1.0	1626568.993710988	-4.4431549778759264E-4	1.0
1.584	152.52478365254248	10464.731643470865	0.9996203048457059	1.0	1595524.886722606	-4.4424225160394554E-4	1.0
1.598	152.49188210693916	10282.132164043467	0.9996135651416682	1.0	1567335.7784440718	-4.4417322800347257E-4	1.0
1.613	152.45633006518676	10091.742000213902	0.9996062782869624	1.0	1537944.1887956797	-4.4409856553324147E-4	1.0
1.628	152.42046785479914	9906.590182110052	0.9995989234239547	1.0	1509361.4979643926	-4.4402316903584184E-4	1.0
1.643	152.38429606859543	9726.486288816719	0.9995915005546515	1.0	1481558.3032657146	-4.4394703750042045E-4	1.0
1.658	152.34781530394963	9551.248474006543	0.9995840096810773	1.0	1454506.5260023386	-4.4387016990706353E-4	1.0
1.672	152.31348835398163	9391.930089333206	0.9995769568459123	1.0	1429912.4635910776	-4.437977618245108E-4	1.0
1.687	152.2764119417254	9225.614187742436	0.9995693345032237	1.0	1404238.4088759408	-4.4371946826014114E-4	1.0
